,station_name,station_lat,station_lon,network
0,ADO,34.550461,-117.433907,CI
1,AGA,33.638378,-116.4011,CI
2,ALP,34.68708,-118.299461,CI
3,ARV,35.1269,-118.83009,CI
4,BAK,35.34444,-119.104446,CI
5,BAR,32.68005,-116.67215,CI
6,BBR,34.2623,-116.92075,CI
7,BBS,33.921391,-116.980583,CI
8,BCC,33.575081,-117.261192,CI
9,BCW,34.94009,-119.41313,CI
10,BFS,34.238831,-117.658531,CI
11,BHP,33.99053,-118.36171,CI
12,BKR,35.269299,-116.070297,CI
13,BLA,34.069481,-116.388962,CI
14,BLA2,34.06931,-116.38993,CI
15,BLC,34.243561,-118.673119,CI
16,BOR,33.2682,-116.41716,CI
17,BRE,33.807758,-117.981163,CI
18,BTP,34.68224,-118.57398,CI
19,CAP,33.388222,-117.194946,CI
20,CAR,35.30819,-119.84583,CI
21,CCA,35.152519,-118.016487,CI
22,CCC,35.524948,-117.364532,CI
23,CHF,34.333408,-118.025848,CI
24,CHN,33.998791,-117.680443,CI
25,CIA,33.401897,-118.415024,CI
26,CJM,34.27117,-117.42448,CI
27,CJV2,34.529781,-118.144501,CI
28,CLC,35.81574,-117.59751,CI
29,CLT,34.092838,-117.316872,CI
30,CRG,35.2422,-119.72486,CI
31,DEC,34.253529,-118.333832,CI
32,DEV,33.93597,-116.577942,CI
33,DGR,33.65001,-117.00947,CI
34,DJJ,34.10618,-118.45505,CI
35,DLA,33.84822,-118.09624,CI
36,DNR,33.56667,-116.63056,CI
37,DPP,32.99889,-116.941872,CI
38,DSC,35.142551,-116.103951,CI
39,DTP,35.267422,-117.84581,CI
40,DVT,32.659149,-116.100609,CI
41,EDW,34.88303,-117.991058,CI
42,EDW2,34.8811,-117.993881,CI
43,ELS2,33.649071,-117.426041,CI
44,EML,32.89083,-116.84566,CI
45,FHO,34.093552,-116.935883,CI
46,FIG,34.72832,-119.98803,CI
47,FMP,33.712639,-118.293808,CI
48,FOX2,34.733898,-118.240463,CI
49,GMA,34.291481,-116.382561,CI
50,GOR,33.153702,-117.22921,CI
51,GR2,34.11816,-118.30024,CI
52,GSC,35.301769,-116.80574,CI
53,HAR,35.011398,-117.299088,CI
54,HEC,34.8294,-116.335,CI
55,HLL,34.17643,-118.35967,CI
56,HMT2,33.708115,-117.001526,CI
57,HOL,34.458309,-117.84539,CI
58,HYS,34.865318,-117.569748,CI
59,IBP,32.661121,-116.092857,CI
60,IDO,33.79678,-116.22152,CI
61,IKP,32.65012,-116.109482,CI
62,IPT,34.19701,-117.28498,CI
63,ISA,35.66278,-118.47403,CI
64,JCS,33.085899,-116.595901,CI
65,JEM,33.08098,-116.59755,CI
66,JNH2,34.448941,-117.95541,CI
67,JRC2,35.98249,-117.80885,CI
68,JVA,34.36622,-116.61266,CI
69,KYV,33.92545,-116.1734,CI
70,LAF,33.86889,-118.33143,CI
71,LCG,34.00033,-118.37794,CI
72,LDR,34.990601,-118.34156,CI
73,LFP,34.30529,-118.48805,CI
74,LGB,33.9753,-118.14918,CI
75,LGU,34.108189,-119.065872,CI
76,LJR,34.807621,-118.867752,CI
77,LKH,33.23598,-116.75876,CI
78,LKL,34.61594,-117.824928,CI
79,LLS,33.684471,-117.943039,CI
80,LMR2,34.934391,-117.696289,CI
81,LMS,33.81744,-117.445,CI
82,LMY,34.733166,-119.103912,CI
83,LPC,34.31478,-117.54642,CI
84,LRL,35.47954,-117.68212,CI
85,LRR2,34.527061,-118.029984,CI
86,LTP,33.8811,-118.175682,CI
87,LUC2,34.456379,-116.964233,CI
88,LUG,34.365601,-117.366829,CI
89,MCT,34.22645,-116.04073,CI
90,MGE,33.81841,-116.36874,CI
91,MLS,34.004601,-117.561623,CI
92,MOP,34.28096,-118.904694,CI
93,MPI,34.81258,-119.145302,CI
94,MPP,34.88848,-119.81362,CI
95,MSC,34.038521,-116.647949,CI
96,MSJ,33.80801,-116.967888,CI
97,MTG,33.19915,-116.64727,CI
98,MUR,33.599991,-117.195427,CI
99,MWC,34.22362,-118.05832,CI
100,NBS,34.78035,-116.55798,CI
101,NCH,34.942699,-119.67395,CI
102,OAT,34.34361,-118.61442,CI
103,OLI,33.945389,-117.923721,CI
104,OLP,32.607712,-116.930191,CI
105,OSI,34.614498,-118.723503,CI
106,PALA,33.38905,-117.031822,CI
107,PAS,34.148441,-118.171173,CI
108,PASA,34.148441,-118.171127,CI
109,PASC,34.17141,-118.18523,CI
110,PDE,34.44199,-118.58215,CI
111,PDR,33.96273,-118.437019,CI
112,PDU,34.1207,-117.63808,CI
113,PER,33.861641,-117.205292,CI
114,PLC,33.82436,-116.511948,CI
115,PLM,33.353611,-116.862648,CI
116,PLS,33.7953,-117.609062,CI
117,PMD,33.64785,-116.37769,CI
118,POB2,33.68708,-116.92382,CI
119,PSD,33.823929,-116.550262,CI
120,PSR,34.091808,-117.807091,CI
121,RAG,34.682892,-116.15139,CI
122,RHC2,34.00095,-118.013329,CI
123,RIN,34.28196,-118.47925,CI
124,RIO,34.10473,-117.97956,CI
125,RKMO,33.67421,-117.60947,CI
126,RPV,33.743462,-118.404121,CI
127,RRX,34.875332,-116.996841,CI
128,RSS,33.97327,-117.326736,CI
129,RUS,34.050751,-118.08078,CI
130,RVR,33.993511,-117.37545,CI
131,SBB2,34.688438,-117.824242,CI
132,SBC,34.440762,-119.71492,CI
133,SBI,33.480461,-119.029861,CI
134,SBPX,34.2324,-117.23484,CI
135,SCI,32.9799,-118.546967,CI
