_id,earthquake_id,event_time,evt_dep,evt_lat,evt_lon,evt_mag,stations,network
6069ea0c34a3110fe6f18067,GT10660,2007-07-05T21:30:01.670000Z,26,32.0681,-116.3624,3,"[""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PASC"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18068,GT10179,2013-01-05T09:59:32.290000Z,3.8,33.613,-116.664,3.3,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IKP"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VCS"",""VES""]",CI
6069ea0c34a3110fe6f18069,GT10424,2010-02-19T19:54:28.310000Z,7.3,34.012,-117.188,3.2,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""FMP"",""GSC"",""HEC"",""ISA"",""LRL"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1806a,GT10855,2004-12-24T03:14:49.700000Z,6,32.072,-116.385,3.1,"[""ADO"",""AGA"",""ARV"",""BAK"",""BAR"",""BBR"",""BBS"",""BCC"",""BFS"",""BLA"",""BOR"",""CAP"",""CHF"",""CIA"",""DEC"",""DEV"",""DGR"",""DJJ"",""DPP"",""DVT"",""EDW2"",""EML"",""FMP"",""GOR"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MGE"",""MPP"",""MSJ"",""MWC"",""OLP"",""OSI"",""PAS"",""PDU"",""PLC"",""PLM"",""PLS"",""RPV"",""RRX"",""SBC"",""SBPX"",""SCI2"",""SCZ2"",""SDD"",""SDG"",""SDR"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""THX"",""TOV"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1806b,GT10999,2003-02-22T12:48:43.930000Z,2.2,34.317,-116.856,3.1,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f1806c,GT11176,2001-07-12T01:02:47.700000Z,1.3,35.75,-118.34,3,"[""BAK"",""BAR"",""CHF"",""CIA"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS""]",CI
6069ea0c34a3110fe6f1806d,GT10972,2003-04-18T14:15:32.700000Z,15.1,32.88,-117.582,3,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f1806e,GT10427,2010-02-17T05:04:54.390000Z,7.8,34.007,-117.192,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LRL"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""RSS"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1806f,GT11241,2000-12-24T01:04:20.530000Z,21.6,34.861,-119.098,4.4,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f18070,GT10928,2003-12-19T11:04:19.500000Z,7,34.169,-117.239,3.1,"[""BAK"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""TOV"",""USC"",""VCS"",""VTV""]",CI
