,station_name,station_lat,station_lon,network
0,BABR,44.62132,-123.78924,UW
1,BLOW,44.6837,-122.1862,UW
2,BRAN,45.9734,-117.2277,UW
3,CCRK,46.558498,-119.854797,UW
4,DAVN,47.8006,-118.2741,UW
5,DDRF,46.4911,-119.059502,UW
6,DOSE,47.7172,-122.9718,UW
7,FISH,45.930599,-123.559097,UW
8,FORK,47.9475,-124.5662,UW
9,GNW,47.56413,-122.82498,UW
10,GRCC,47.31237,-122.180283,UW
11,HEBO,45.213501,-123.755386,UW
12,HOOD,45.322262,-121.650932,UW
13,IRON,43.358,-118.4743,UW
14,IZEE,44.082001,-119.504204,UW
15,JEDS,43.75157,-124.04905,UW
16,KENT,45.235699,-120.635101,UW
17,LCCR,45.2059,-122.4784,UW
18,LEBA,46.545898,-123.563202,UW
19,LON,46.750599,-121.809601,UW
20,LRIV,48.0575,-123.504,UW
21,LTY,47.25451,-120.66636,UW
22,MEGW,46.26609,-123.87709,UW
23,MRBL,48.518299,-121.484497,UW
24,OFR,47.933128,-124.396042,UW
25,OMAK,48.3584,-119.3332,UW
26,OPC,48.10009,-123.41291,UW
27,PASS,48.998299,-122.085197,UW
28,PHIN,45.8951,-119.927803,UW
29,RADR,46.42181,-123.79897,UW
30,RAI,46.040298,-122.885101,UW
31,RATT,47.42546,-121.80254,UW
32,RWW,46.964729,-123.543411,UW
33,SEP,46.200211,-122.190598,UW
34,SHUK,48.85284,-121.67695,UW
35,SP2,47.55629,-122.249229,UW
36,SPUD,47.664688,-117.42749,UW
37,SQM,48.073681,-123.048058,UW
38,STOR,47.188099,-121.9888,UW
39,TAKO,43.74313,-124.08337,UW
40,TOLO,44.62161,-123.92305,UW
41,TOLT,47.6947,-121.6895,UW
42,TREE,42.7258,-120.893402,UW
43,TTW,47.69445,-121.690109,UW
44,TUCA,46.513901,-118.1455,UW
45,UMAT,45.2904,-118.9595,UW
46,WISH,47.11698,-123.77118,UW
47,WOLL,47.057301,-118.920998,UW
48,YACT,45.9325,-122.4193,UW
