,station_name,station_lat,station_lon,network
0,ATLB,50.2184,-127.06,UW
1,BMSB,48.8356,-125.1355,UW
2,CBB,50.0315,-125.3652,UW
3,CPLB,48.6118,-124.7512,UW
4,EDB,49.873,-127.1216,UW
5,GHNB,49.3065,-124.2364,UW
6,GLBC,48.396,-123.6363,UW
7,HNB,49.2745,-122.5792,UW
8,HOPB,49.3872,-121.4206,UW
9,JRBC,48.3957,-123.96,UW
10,KHVB,48.5688,-123.4663,UW
11,LLLB,50.609,-121.8815,UW
12,LZB,48.6122,-123.824,UW
13,NLLB,49.2271,-123.9882,UW
14,OZB,48.9612,-125.4978,UW
15,PGC,48.6498,-123.4521,UW
16,PHC,50.7067,-127.433,UW
17,SHB,49.5985,-123.8771,UW
18,SHDB,48.797,-123.636,UW
19,SHVB,48.4723,-123.636,UW
20,SNB,48.7751,-123.1723,UW
21,TASB,49.9266,-126.6513,UW
22,THAB,49.28,-124.9184,UW
23,TLCB,50.5465,-126.8345,UW
24,VGZ,48.4131,-123.3251,UW
25,WISB,50.1265,-122.9212,UW
26,WSLR,50.1266,-122.9212,UW
27,WTRB,50.1298,-126.0353,UW
